,SegID
1818,102599
1819,37063
1820,102601
1821,37065
1822,4297
1823,69836
1824,4304
1825,69841
1826,37074
1827,37077
1828,37078
1829,168151
1830,4312
1831,37081
1832,37082
1833,37083
1834,168154
1835,37085
1836,37079
1837,37088
1838,37089
1839,102625
1840,168160
1841,168164
1842,4329
1843,37099
1844,37103
1845,4340
1846,168180
1847,37111
1848,37121
1849,37122
1850,37123
1851,168194
1852,168198
1853,69894
1854,4363
1855,69899
1856,4365
1857,69900
1858,4371
1859,168214
1860,4375
1861,4376
1862,4378
1863,37146
1864,4382
1865,4383
1866,69921
1867,4386
1868,37154
1869,69922
1870,69924
1871,69923
1872,69925
1873,69928
1874,266531
1875,4395
1876,4396
1877,37167
1878,168242
1879,4405
1880,4406
1881,37175
1882,135484
1883,37184
1884,37187
1885,37188
1886,37189
1887,135496
1888,4427
1889,37198
1890,69967
1891,37202
1892,135507
1893,37204
1894,4437
1895,168279
1896,37207
1897,135514
1898,69979
1899,135515
1900,37217
1901,37218
1902,4451
1903,37220
1904,4454
1905,4456
1906,4459
1907,69995
1908,4463
1909,4464
1910,70002
1911,4471
1912,70008
1913,4477
1914,70015
1915,37252
1916,37254
1917,168332
1918,70032
1919,37268
1920,37269
1921,70041
1922,37274
1923,37275
1924,37277
1925,70045
1926,37279
1927,168355
1928,37287
1929,135598
1930,70063
1931,37296
1932,66029
1933,4530
1934,135603
1935,4532
1936,37302
1937,4534
1938,4535
1939,4536
1940,4538
1941,37303
1942,37304
1943,168381
1944,4542
1945,168382
1946,37312
1947,37313
1948,37314
1949,4546
1950,4544
1951,168388
1952,37309
1953,70087
1954,37316
1955,4554
1956,4555
1957,4556
1958,266710
1959,168408
1960,266714
1961,37340
1962,37346
1963,168419
1964,37350
1965,233965
1966,37362
1967,37366
1968,37368
1969,37369
1970,37371
1971,37372
1972,37374
1973,37376
1974,37379
1975,70148
1976,37383
1977,168455
1978,70153
1979,266759
1980,70155
1981,135694
1982,168463
1983,135697
1984,135698
1985,70162
1986,135701
1987,70166
1988,168471
1989,70168
1990,37399
1991,70167
1992,70173
1993,37407
1994,168480
1995,37411
1996,70184
1997,37421
1998,70189
1999,37423
2000,37425
2001,70194
2002,37427
2003,37426
2004,37428
2005,70193
2006,37438
2007,135746
2008,135748
2009,37448
2010,37449
2011,168520
2012,37451
2013,70220
2014,135759
2015,168528
2016,70223
2017,102994
2018,135767
2019,37465
2020,37469
2021,37470
2022,135777
2023,135781
2024,37480
2025,135786
2026,70253
2027,37485
2028,37488
2029,70257
2030,37493
2031,37494
2032,70263
2033,70264
2034,37498
2035,70267
2036,37508
2037,168581
2038,70279
2039,168592
2040,168593
2041,37521
2042,168595
2043,70292
2044,168597
2045,37524
2046,168600
2047,37533
2048,37536
2049,70313
2050,37546
2051,37545
2052,103085
2053,37549
2054,70320
2055,70322
2056,37566
2057,234174
2058,37567
2059,168641
2060,37570
2061,37572
2062,4805
2063,70348
2064,37581
2065,37580
2066,234191
2067,70352
2068,234193
2069,4820
2070,266964
2071,70358
2072,70360
2073,70364
2074,103133
2075,4832
2076,70374
2077,70376
2078,70379
2079,70380
2080,37612
2081,70387
2082,70394
2083,70395
2084,37629
2085,37635
2086,4869
2087,4870
2088,4871
2089,4876
2090,37652
2091,37662
2092,37663
2093,70434
2094,70436
2095,37668
2096,70437
2097,70439
2098,70443
2099,70450
2100,70451
2101,70452
2102,4917
2103,4918
2104,70455
2105,70456
2106,70457
2107,234292
2108,37697
2109,267079
2110,37705
2111,37706
2112,37707
2113,37708
2114,37709
2115,267084
2116,37710
2117,70475
2118,37711
2119,37714
2120,70482
2121,267090
2122,70490
2123,168797
2124,168798
2125,4961
2126,37731
2127,37733
2128,37734
2129,70502
2130,37736
2131,168806
2132,37739
2133,37740
2134,37741
2135,37742
2136,37750
2137,103286
2138,234360
2139,103289
2140,103290
2141,37756
2142,37757
2143,37758
2144,234370
2145,234375
2146,168839
2147,103303
2148,70542
2149,70545
2150,136087
2151,70555
2152,136091
2153,5029
2154,5030
2155,37797
2156,5032
2157,5033
2158,37801
2159,70582
2160,136118
2161,37817
2162,70586
2163,37818
2164,37820
2165,70596
2166,70597
2167,70598
2168,70600
2169,70601
2170,70602
2171,37836
2172,37837
2173,70607
2174,70612
2175,37846
2176,37847
2177,70616
2178,70620
2179,37856
2180,37857
2181,70626
2182,70627
2183,136160
2184,70629
2185,136161
2186,37863
2187,168937
2188,70635
2189,37868
